id товара,наименование,ссылка на товар,регулярная цена,бренд
209569,Кресло-шезлонг Greengard валенти,https://online.metro-cc.ru/products/kreslo-shezlong-valenti-greengard,5 499,GREENGARD
657492,"Скамья складная Фотон Брауфест сосна сталь, 220 х 25 х 46см",https://online.metro-cc.ru/products/lavka-braufest,7 999,ФОТОН
205965,METRO PROFESSIONAL Кресло из ротанга,https://online.metro-cc.ru/products/kreslo-iz-rotanga-metro-professional,10 999,METRO PROFESSIONAL
205948,"aro Кресло серое, 46 x 45см",https://online.metro-cc.ru/products/kreslo-56h45sm-seroe-aro,1 199,ARO
124517,"Чехол-укрытие для подвесного кресла Greengard двухместный коричневый, 180 х 150 х 150см",https://online.metro-cc.ru/products/chehol-ukrytie-dlya-podvesnogo-kresla-dvojnogo,2 999,GREENGARD
205957,"aro Кресло детское, 38 x 35см",https://online.metro-cc.ru/products/kreslo-detskoe-38h35sm-aro,299,ARO
209570,Шезлонг Greengard Дарси,https://online.metro-cc.ru/products/shezlong-darsi-greengard,4 999,GREENGARD
567787,"Подсвечник Pasabahce Алания, 5.5см",https://online.metro-cc.ru/products/pasabahce-alaniya-55sm,49,PASABAHCE
125028,"METRO PROFESSIONAL Свеча чайная Классика, 100шт",https://online.metro-cc.ru/products/mpro-svecha-chaynaya-100sht,539,METRO PROFESSIONAL
124274,"Фоторамка Мирам черная А4, 21 x 29.7см",https://online.metro-cc.ru/products/fotoramka-miram-21h297-a4-124274,239,Без бренда
123122,"Гелий Fiolento в портативном одноразовом баллоне, 7л",https://online.metro-cc.ru/products/gelij-v-portativnom-odnorazovom-ballone-7l,2 999,FIOLENTO
70035,"Ваза Pasabahce Pattah стеклянная, 24см",https://online.metro-cc.ru/products/pattah-pasabahce-240-mm,999,PASABAHCE
128145,"METRO PROFESSIONAL Свеча столбовая белая лакированная, 6.3 x 20см",https://online.metro-cc.ru/products/metro-professional-stolbovaya-belaya-lakirovannaya-63x20sm,199,METRO PROFESSIONAL
128150,"METRO PROFESSIONAL Свеча античная красная витая, 4шт",https://online.metro-cc.ru/products/metro-professional-antichnaya-krasnaya-vitaya-4sht,99,METRO PROFESSIONAL
641598,Подставка для ароматических палочек Kukina Raffinata,https://online.metro-cc.ru/products/podstavka-dlya-aromaticheskih-palochek-kukina-raffinata,29,KUKINA RAFFINATA
128141,"METRO PROFESSIONAL Свеча столбовая белая лакированная, 6.3 x 15см",https://online.metro-cc.ru/products/metro-professional-stolbovaya-belaya-lakirovannaya-63x15sm,379,METRO PROFESSIONAL
594005,"Ваза Pasabahce Flora стеклянная, 26.5см",https://online.metro-cc.ru/products/pasabahce-steklyannaya-flora-vysota-265mm,369,PASABAHCE
